Realized & Unrealized Performance Summary,Data,Forex,GBP,0,190.024726,-1282.865184,0,0,-1092.840458,1.520464,0,0,0,1.520464,-1091.319994,
Realized & Unrealized Performance Summary,Data,Forex,HKD,0,35.197469,-74.441762,0,0,-39.244293,0.02651,-8.572741068,0,0,-8.546231068,-47.79052407,
Realized & Unrealized Performance Summary,Data,Forex,JPY,0,103.804919,-33.611255,0,0,70.193664,0.748857,0,0,0,0.748857,70.942521,
Realized & Unrealized Performance Summary,Data,Forex,MXN,0,0,0,0,0,0,0,0,0,0,0,0,
Realized & Unrealized Performance Summary,Data,Forex,NZD,0,1234.17272,0,0,0,1234.17272,0,0,0,0,0,1234.17272,
Realized & Unrealized Performance Summary,Data,Total,,0,16511.28844,-13472.57182,0,0,3038.716617,103.5984329,-65.80676484,0,0,37.79166811,3076.508285,
Realized & Unrealized Performance Summary,Data,Bonds,ATI 5 7/8 08/15/23,0,583.75,0,0,0,583.75,0,0,0,0,0,583.75,
Realized & Unrealized Performance Summary,Data,Bonds,BRASKM 6.45 02/03/24,0,4164.25,0,0,0,4164.25,0,0,0,0,0,4164.25,
Realized & Unrealized Performance Summary,Data,Bonds,DSPORT 5 3/8 08/15/26,0,0,0,0,0,0,0,-290,0,0,-290,-290,
Realized & Unrealized Performance Summary,Data,Bonds,FLR 3 1/2 12/15/24,0,1507.25,0,0,0,1507.25,0,0,0,0,0,1507.25,
Realized & Unrealized Performance Summary,Data,Bonds,MUR 6 7/8 08/15/24,0,120.25,0,0,0,120.25,0,0,0,0,0,120.25,
Realized & Unrealized Performance Summary,Data,Bonds,SIG 4.7 06/15/24,0,1,-22.5,0,0,-21.5,0,0,0,0,0,-21.5,
Realized & Unrealized Performance Summary,Data,Total,,0,6376.5,-22.5,0,0,6354,0,-290,0,0,-290,6064,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,147699.1505,-96970.91258,0,-541.5167405,50186.72118,6009.059227,-45451.7487,0,0,-39442.68948,10744.03171,
Cash Report,Header,Currency Summary,Currency,Total,Securities,Futures,,,,,,,,,,
Cash Report,Data,Starting Cash,Base Currency Summary,175015.4543,175015.4493,0.005,,,,,,,,,,
Cash Report,Data,Commissions,Base Currency Summary,-2277.02103,-2043.66103,-233.36,,,,,,,,,,
Cash Report,Data,Internal Transfers,Base Currency Summary,0,13571.29,-13571.29,,,,,,,,,,
Cash Report,Data,Dividends,Base Currency Summary,2113.5487,2113.5487,0,,,,,,,,,,
Cash Report,Data,Broker Interest Paid and Received,Base Currency Summary,-2342.932268,-2342.932268,0,,,,,,,,,,
Cash Report,Data,Bond Interest Paid and Received,Base Currency Summary,9101.46,9101.46,0,,,,,,,,,,
